"movies","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross"
"hamossad: sipur kisuy",2017,NA,"Documentary",NA,NA,7.5,NA,NA,"Ram Ben Barak","Gad Shimron"," Yossi Alpher","Avi Dagan",1056,60,NA
"días de navidad",2019,NA,"Drama",NA,NA,6.8,NA,NA,"Victoria Abril","Carla Tous"," Jay Britton","Alicia Borrachero",1057,NA,NA
"penthouse",2021,NA,"Crime","Mystery","Thriller",NA,"Abbas Alibhai Burmawalla","
Mastan Alibhai Burmawalla
","Tisca Chopra","Arjun Rampal"," Bobby Deol","Sharman Joshi",NA,NA,NA
"9 kere leyla",2020,NA,"Comedy",NA,NA,3.7,"Ezel Akay",NA,"Haluk Bilginer","Demet Akbag"," Elçin Sangu","Firat Tanis",7092,112,NA
"brahman naman",2016,NA,"Comedy",NA,NA,5.6,"Qaushiq Mukherjee",NA,"Shashank Arora","Tanmay Dhanania"," Chaitanya Varad","Vaishwath Shankar",1798,95,NA
"the bleeding edge",2018,NA,"Documentary",NA,NA,7.6,"Kirby Dick",NA,"Robert Bridges","Angie Firmalino"," Rita Redberg","Stephen Tower",2374,99,NA
"aenggeurimam",2015,NA,"Comedy","Drama",NA,7.6,NA,NA,"Kim Hee-seon","Kim Yoo-jeong"," Hyun-Woo Ji","Ji Soo",440,70,NA
"parked",2010,NA,"Drama",NA,NA,6.7,"Darragh Byrne",NA,"Colin Morgan","Colm Meaney"," Milka Ahlroth","Stuart Graham",2459,94,NA
"carmen sandiego: to steal or not to steal",2020,NA,"Animation","Short","Action",7,"Jos Humphrey","
Kevin Dart","Gina Rodriguez","Finn Wolfhard"," Abby Trott","Michael Hawley",628,31,NA
"kus uçusu",NA,NA,"Comedy",NA,NA,NA,NA,NA,"Birce Akalay","Ibrahim Celikkol"," Irem Sak","Miray Daner",NA,NA,NA
"lavaperros",2020,NA,"Comedy","Crime","Drama",5.7,"Carlos Moreno",NA,"Jose Marino Angulo","Juan Martin Arancedo"," Anderson Ballesteros","Geovanni Marin Cardona",528,107,NA
"incir reçeli 2",2014,NA,"Drama","Romance",NA,6,"Aytaç Agirlar",NA,"Mert Akin Akcay","Mehmet Selim Akgul"," Yusuf Bedirhan Arslan","Onur Bilge",4056,103,NA
"kuntilanak",2018,NA,"Comedy","Family","Horror",4.8,"Rizal Mantovani",NA,"Sandrinna Michelle","Aurélie Moeremans"," Fero Walandouw","Nena Rosier",593,105,NA
"sinister squad",2016,NA,"Action","Comedy","Fantasy",2.1,"Jeremy M. Inman",NA,"Johnny Rey Diaz","Christina Licciardi"," Lindsay Sawyer","Talia A Davis",1025,90,NA
"loose change 9/11: an american coup",2009,NA,"Documentary","History","War",7.1,"Dylan Avery",NA,"Osama bin Laden","Johnelle Bryant"," George W. Bush","Laura Bush",3517,99,NA
"andið eðlilega",2018,NA,"Drama",NA,NA,6.9,"Isold Uggadottir",NA,"Kristín Þóra Haraldsdóttir","Babetida Sadjo"," Patrik Nökkvi Pétursson","Þorsteinn Bachmann",2678,95,NA
"gipsy queen",2019,NA,"Drama","Sport",NA,6.1,"Hüseyin Tabak",NA,"Alina Serban","Tobias Moretti"," Irina Kurbanova","Catrin Striebeck",409,117,NA
"öldür beni sevgilim",2019,NA,"Comedy","Romance",NA,4.4,"Senol Sönmez",NA,"Murat Boz","Seda Bakan"," Açelya Topaloglu","Özgür Emre Yildirim",1568,104,NA
"juhong geulshi",2004,NA,"Drama","Mystery","Thriller",6.5,"Hyuk Byun",NA,"Han Suk-kyu","Eun-ju Lee"," Hyun-Ah Sung","Ji-won Uhm",1052,115,NA
"lens",2016,NA,"Drama","Mystery","Thriller",6.7,"Jayaprakash Radhakrishnan",NA,"Anand Sami","Jayaprakash Radhakrishnan"," Misha Ghoshal","Kulothungan Udayakumar",1142,109,NA
"bon cop bad cop 2",2017,NA,"Action","Comedy","Crime",6.7,"Alain Desrochers",NA,"Colm Feore","Patrick Huard"," Marc Beaupré","Noam Jenkins",3956,126,NA
"booba: food puzzle",2020,NA,"Animation","Comedy","Family",8.7,NA,NA,"Artem Kretov","Elena Solovieva"," Roman Karev","Elena Kareva",21,NA,NA
"riding faith",2020,NA,"Family",NA,NA,4.4,"Paco Aguilar",NA,"John Schneider","Grace Van Dien"," T.C. Stallings","Marisa Brown",196,81,NA
"rodeo & juliet",2015,NA,"Drama","Family","Romance",4.7,"Thadd Turner",NA,"Krista Allen","Tim Abell"," Nadine Crocker","Zeb Halsell",987,88,NA
"the creative brain",2019,NA,"Documentary",NA,NA,6.3,"Jennifer Beamish","
Toby Trackman
","David Eagleman","Michelle Khine"," Bjarke Ingels","Nathan Myhrvold",836,52,NA
"generation iron",2013,NA,"Documentary","Drama","Sport",7.1,"Vlad Yudin",NA,"Arnold Schwarzenegger","Mickey Rourke"," Michael Jai White","Lou Ferrigno",7715,106,0.85
"sleep, my love",1948,NA,"Drama","Film-Noir","Mystery",6.8,"Douglas Sirk",NA,"Claudette Colbert","Robert Cummings"," Don Ameche","Rita Johnson",1631,97,1.8
"mushikago no cagaster",2020,NA,"Animation","Action","Drama",6.2,NA,NA,"Aleks Le","Todd Haberkorn"," Ryan Bartley","Kim Strauss",527,29,NA
"garbage",2018,NA,"Drama","Thriller",NA,3.4,"Qaushiq Mukherjee",NA,"Tanmay Dhanania","Trimala Adhikari"," Satarupa Das","Gitanjali Dang",974,105,NA
"bethany hamilton: unstoppable",2018,NA,"Documentary","Sport",NA,7.4,"Aaron Lieber",NA,"Alana Blanchard","Adam Dirks"," Tobias Dirks","Madison Graber",619,100,0.59
"huan tu",2018,NA,"Drama","Mystery",NA,6.2,"Siew Hua Yeo",NA,"Peter Yu","Xiaoyi Liu"," Yue Guo","Jack Tan",1202,95,NA
"salir del ropero",2019,NA,"Comedy",NA,NA,4.2,"Ángeles Reiné",NA,"Rosa Maria Sardà","Verónica Forqué"," Ingrid García Jonsson","David Verdaguer",942,94,NA
"gumrah",1993,NA,"Action","Crime","Drama",6.2,"Mahesh Bhatt",NA,"Sanjay Dutt","Sridevi"," Anupam Kher","Rahul Roy",724,149,NA
"mucho mucho amor: the legend of walter mercado",2020,NA,"Documentary",NA,NA,7.3,"Cristina Costantini","
Kareem Tabsch
","Walter Mercado","Willy Acosta"," Lin-Manuel Miranda","Raul de Molina",2941,96,NA
"untold: deal with the devil",2021,NA,"Documentary","Sport",NA,NA,"Laura Brownson",NA,NA,NA,NA,NA,NA,77,NA
"pete davidson: alive from new york",2020,NA,"Comedy",NA,NA,6.1,"Jason Orley",NA,"Pete Davidson","Elliot Schiff",NA,NA,3278,49,NA
"jerry seinfeld: 23 hours to kill",2020,NA,"Comedy",NA,NA,6.7,"Joe DeMaio","
Steven Rimdzius
","Star: Jerry Seinfeld",NA,NA,NA,4647,60,NA
"bakugan: battle planet",2018,NA,"Animation","Action","Adventure",4.9,NA,NA,"Jonah Wineberg","Ticoon Kim"," Julius Cho","Margarita Valderrama",190,24,NA
"jeoldae geui",2019,NA,"Comedy","Fantasy","Romance",6.9,NA,NA,"Yeo Jin-gu","Min-ah Bang"," Jong-Hyun Hong","Ji Yoon Hong",225,35,NA
"bettie page reveals all",2012,NA,"Documentary","Biography",NA,7.1,"Mark Mori",NA,"Bettie Page","Hugh Hefner"," Olivia de Berardinis","Dita Von Teese",1459,101,0.1
"holiday rush",2019,NA,"Comedy","Drama","Family",4.9,"Leslie Small",NA,"Romany Malco","Sonequa Martin-Green"," Darlene Love","Amarr M. Wooten",2294,92,NA
"the pact ii",2014,NA,"Horror","Mystery","Thriller",4.4,"Dallas Richard Hallam","
Patrick Horvath
","Caity Lotz","Camilla Luddington"," Patrick Fischler","Scott Michael Foster",3416,96,NA
"cardboard gangsters",2017,NA,"Crime","Drama",NA,6.4,"Mark O'Connor",NA,"John Connors","Fionn Walton"," Kierston Wareing","Jimmy Smallhorne",2788,92,NA
"christiane amanpour sex & love around the world",2018,NA,"Documentary",NA,NA,7.4,NA,NA,"Star: Christiane Amanpour",NA,NA,NA,785,NA,NA
"how to ruin christmas: the wedding",2020,NA,"Comedy","Drama",NA,6.2,NA,NA,"Busise Lurayi","Thando Thabethe"," Yonda Thomas","Nambitha Ben-Mazwi",326,NA,NA
"dragon age: dawn of the seeker",2012,NA,"Animation","Action","Adventure",5.8,"Fumihiko Sori",NA,"Colleen Clinkenbeard","J. Michael Tatum"," Chuck Huber","R. Bruce Elliott",2857,90,NA
"als de dijken breken",2016,NA,"Drama",NA,NA,6.6,NA,NA,"Gijs Scholten van Aschat","Janni Goslinga"," Simone Milsdochter","Serin Utlu",778,45,NA
"#annefrank - parallel stories",2019,NA,"Drama","History",NA,6.5,"Sabina Fedeli","
Anna Migotto
","Helen Mirren","Anne Frank"," Martina Gatti","Arianna Szorenyi",1296,92,NA
"renesse",2016,NA,"Comedy",NA,NA,5.9,"Willem Gerritsen",NA,"Niek Roozen","Martijn van Eijzeren"," Simon Kindermans","Sam Doets",5635,77,NA
"the testimony",2015,NA,"Documentary","Short","Crime",7.3,"Vanessa Block",NA,NA,NA,NA,NA,155,28,NA
"miseu hammurabi",2018,NA,"Comedy","Drama",NA,7.6,NA,NA,"Go Ara","Myung-Soo Kim"," Dong-il Sung","Deok-Hwan Ryu",471,80,NA
"aleksandr's price",2013,NA,"Drama",NA,NA,4.9,"Pau Masó","
David Damen
","Pau Masó","Anatoli Grigoriadou"," Josh Berresford","Samantha Glovin",687,108,NA
"yesterday wo utatte",2020,NA,"Animation","Drama","Romance",6.9,NA,NA,"Chikahiro Kobayashi","Yume Miyamoto"," Kana Hanazawa","Natsuki Hanae",582,23,NA
"rocko's modern life: static cling",2019,NA,"Animation","Action","Adventure",7,"Joe Murray","
Cosmo Segurson
","Carlos Alazraqui","Tom Kenny"," Charlie Adler","Mr. Lawrence",3623,45,NA
"reipu zonbi: lust of the dead 3",2013,NA,"Horror",NA,NA,3.8,"Naoyuki Tomomatsu",NA,"Yui Aikawa","Asami"," Iona","Saya Kobayashi",308,68,NA
"trailer park boys: don't legalize it",2014,NA,"Comedy","Crime","Drama",7.3,"Mike Clattenburg",NA,"John Paul Tremblay","Robb Wells"," Mike Smith","John Dunsworth",4562,95,NA
"a través de mi ventana",NA,NA,"Comedy","Romance",NA,NA,"Marçal Forés",NA,"Hugo Arbues","Eric Masip"," Julio Peña","Clara Galle",NA,NA,NA
"barbie: big city, big dreams",2021,NA,"Animation",NA,NA,NA,"Scott Pleydell-Pearce",NA,NA,NA,NA,NA,NA,NA,NA
"cupcake & dino: general services",2018,NA,"Animation","Action","Comedy",7.8,NA,NA,"Justin Collette","Kyle Dooley"," Mark Forward","Joris Jarsky",511,23,NA
"les goûts et les couleurs",2018,NA,"Comedy","Drama",NA,5.3,"Myriam Aziza",NA,"Sarah Stern","Jean-Christophe Folly"," Julia Piaton","Catherine Jacob",1553,95,NA
"take your pills",2018,NA,"Documentary",NA,NA,6.4,"Alison Klayman",NA,"Ariana","Delaney"," Jasper Holt-Teza","Leigh",4713,87,NA
"apan",2009,NA,"Drama","Thriller",NA,6,"Jesper Ganslandt",NA,"Olle Sarri","Eva Rexed"," Françoise Joyce","Sean Pietrulewicz",1608,81,NA
"fuimos canciones",2021,NA,"Comedy","Drama","Music",NA,"Juana Macías",NA,"María Valverde","Álex González"," Carlo Costanzia","Susana Abaitua",NA,NA,NA
"best. worst. weekend. ever.",2018,NA,"Comedy","Family",NA,6.4,NA,NA,"Sam Ashe Arnold","Brittany Garms"," Brianna Reed","Cole Sand",254,191,NA
"eyyvah eyvah",2010,NA,"Comedy",NA,NA,7,"Hakan Algül",NA,"Demet Akbag","Ata Demirer"," Özge Borak","Bican Günalan",19708,104,NA
"the crash reel",2013,NA,"Documentary","Biography","Sport",8.2,"Lucy Walker",NA,"Kevin Pearce","Shaun White"," Mason Aguirre","Daniel Amen",4744,108,NA
"kolejne 365 dni",NA,NA,"Drama","Romance",NA,NA,"Barbara Bialowas","
Tomasz Mandes
","Michele Morrone","Magdalena Lamparska"," Otar Saralidze",NA,NA,NA,NA
"dave chappelle: equanimity",2017,NA,"Comedy",NA,NA,8.2,"Stan Lathan",NA,"Dave Chappelle","Donnell Rawlings",NA,NA,10450,64,NA
"piano no mori",2018,NA,"Animation","Adventure","Drama",7.1,NA,NA,"Tony Azzolino","Johnny Yong Bosch"," Reba Buhr","Griffin Burns",731,25,NA
"ang probinsyano",2015,NA,"Action","Crime","Thriller",4.1,NA,NA,"Coco Martin","Jaime Fabregas"," Susan Roces","Malou Crisologo",179,99,NA
"john mulaney: the comeback kid",2015,NA,"Comedy",NA,NA,8,"Rhys Thomas",NA,"Petunia","John Mulaney"," Amanda Walsh","Philip Romano",7706,62,NA
"wings of fire",NA,NA,"Animation","Action","Adventure",NA,NA,NA,"",NA,NA,NA,NA,40,NA
"milly & mamet: ini bukan cinta & rangga",2018,NA,"Comedy","Drama",NA,7.4,"Ernest Prakasa",NA,"Julie Estelle","Yoshi Sudarso"," Adinia Wirasti","Dian Sastrowardoyo",684,101,NA
"the app",2019,NA,"Drama","Sci-Fi","Thriller",2.6,"Elisa Fuksas",NA,"Salvatore Costa","Vincenzo Crea"," Jessica Cressy","Maurizio Di Carmine",1229,78,NA
"kevin hart: zero f**ks given",2020,NA,"Comedy",NA,NA,6,"Leslie Small",NA,"Star: Kevin Hart",NA,NA,NA,2911,69,NA
"chek dou",2015,NA,"Action","Crime","Drama",5.6,"Lok Man Leung","
Kim-Ching Luk
","Chen Chang","Jin-hee Ji"," Si Won Choi","Kim Hae-sook",1127,118,NA
"reipu zonbi: lust of the dead 2",2013,NA,"Horror",NA,NA,3.6,"Naoyuki Tomomatsu",NA,"Hayato Abe","Yui Aikawa"," Maki Aoyama","Asami",341,67,NA
"sr. pig",2016,NA,"Drama",NA,NA,5.8,"Diego Luna",NA,"Danny Glover","Maya Rudolph"," José María Yazpik","Joel Murray",1152,100,NA
"se busca papá",2020,NA,"Comedy","Drama","Family",5.7,"Javier Colinas",NA,"Mauricio Argüelles","Moisés Arizmendi"," Luis Arrieta","Bere Becerra",953,102,NA
"el otro hermano",2017,NA,"Crime","Drama","Thriller",6.5,"Israel Adrián Caetano",NA,"Leonardo Sbaraglia","Daniel Hendler"," Erasmo Olivera","Déborah Vidret",1604,112,NA
"los herederos de la tierra",2021,NA,"Drama",NA,NA,NA,NA,NA,"Pere Arquillué","Yon González"," Michelle Jenner","Mercedes León",NA,NA,NA
"say goodnight to the bad guys",2008,NA,"Comedy",NA,NA,7.9,"Mike Clattenburg",NA,"John Paul Tremblay","Robb Wells"," John Dunsworth","Patrick Roach",3408,47,NA
"tricked: the documentary",2013,NA,"Documentary","Crime",NA,6,"John Keith Wasson","
Jane Wells
","Danielle Douglas","Slim"," Rain","T.R.",1490,73,NA
"huo shen de yan lei",2021,NA,"Drama",NA,NA,8.3,NA,NA,"Sheng-hao Wen","Annie Chen"," Po-Hung Lin","Kuan-Ting Liu",150,50,NA
"american violence",2017,NA,"Crime","Drama","Thriller",4.5,"Timothy Woodward Jr.",NA,"Kaiwi Lyman","Bruce Dern"," Denise Richards","Columbus Short",1727,107,NA
"the road to el camino: a breaking bad movie",2019,NA,"Documentary","Short",NA,7.2,NA,NA,"Charles Baker","Jonathan Banks"," Melissa Bernstein","Michael Bofshever",1059,13,NA
"house of bodies",2013,NA,"Crime","Drama","Thriller",4.6,"Alex Merkin",NA,"Terrence Howard","Peter Fonda"," George Katt","Alexz Johnson",2535,79,NA
"my christmas inn",2018,NA,"Comedy","Drama","Romance",5.6,"Peter Sullivan",NA,"Tia Mowry-Hardrict","Rob Mayes"," Jackée Harry","Tim Reid",1944,100,NA
"deidra & laney rob a train",2017,NA,"Comedy","Crime","Drama",6.1,"Sydney Freeland",NA,"Ashleigh Murray","Rachel Crow"," Lance Gray","Danielle Nicolet",1740,92,NA
"demoted",2011,NA,"Comedy",NA,NA,5.3,"J.B. Rogers",NA,"Michael Vartan","Sean Astin"," David Cross","Celia Weston",1918,94,NA
"lovefucked",2018,NA,"Drama","Romance",NA,5.9,"Aadish Keluskar",NA,"Himanshu Kohli","Rohit Kokate"," Khushboo Upadhyay",NA,382,106,NA
"gekijouban yuugiou: chouyuugou! jikuu o koeta kizuna",2010,NA,"Animation","Action","Fantasy",6.4,"Ken'ichi Takeshita",NA,"Gregory Abbey","Matthew Labyorteaux"," Dan Green","Sean Schemmel",1563,49,NA
"indiscretion",2016,NA,"Crime","Drama","Romance",4.9,"John Stewart Muller",NA,"Mira Sorvino","Cary Elwes"," Christopher Backus","Katherine McNamara",984,99,NA
"mea maxima culpa: silence in the house of god",2012,NA,"Documentary",NA,NA,8,"Alex Gibney",NA,"Alex Gibney","Terry Kohut"," Gary Smith","Pat Kuehn",3599,106,NA
"no somos animales",2013,NA,"Comedy","Drama",NA,5,"Alejandro Agresti",NA,"John Cusack","Kevin Morris"," Paul Hipp","Alejandro Agresti",574,90,NA
"iron man and captain america: heroes united",2014,NA,"Animation","Action","Adventure",5.5,"Eric Radomski","
Leo Riley
","Adrian Pasdar","Roger Craig Smith"," Fred Tatasciore","David Kaye",1632,71,NA
"money heist korea",NA,NA,"Action","Crime","Drama",NA,NA,NA,"Kim Ji-hun","Yoo Ji-Tae"," Jeon Jong-seo","Lee Joobeen",NA,NA,NA
"aelay",2021,NA,"Comedy","Drama",NA,7.1,"Halitha Shameem",NA,"Madhumathi","Manikandan"," Samuthirakani",NA,561,153,NA
"trixie mattel: moving parts",2019,NA,"Documentary",NA,NA,7.3,"Nicholas Zeig-Owens",NA,"Trixie Mattel","Benjamin Putnam"," Caldwell Tidicue","James Wirth",1677,91,NA
"rilakkuma to kaorusan",2019,NA,"Animation","Comedy","Drama",8.3,NA,NA,"Veronica Taylor","Abby Trott"," Barbara Goodson","Chris Hackney",1443,12,NA
"danur: i can see ghosts",2017,NA,"Horror",NA,NA,5.4,"Awi Suryadi",NA,"Prilly Latuconsina","Sandrinna Michelle"," Shareefa Daanish","Asha Kenyeri Bermudez",740,74,NA
"8:46",2020,NA,"Short","Comedy",NA,8.1,"Steven Bognar","
Julia Reichert
","Star: Dave Chappelle",NA,NA,NA,2042,27,NA
"maska",2020,NA,"Comedy","Drama","Romance",5.8,"Neeraj Udhwani",NA,"Prit Kamani","Manisha Koirala"," Shirley Setia","Javed Jaffrey",1340,111,NA
"zoolander: super model",2016,NA,"Animation","Comedy","Sci-Fi",4.9,"Aaron Augenblick",NA,"Ben Stiller","Owen Wilson"," Christine Taylor","Jerry Stiller",139,84,NA
"what happened to mr cha?",2021,NA,"Comedy","Drama",NA,4.3,"Dong-kyu Kim",NA,"In-Pyo Cha","Jae-Ryong Song",NA,NA,278,102,NA
"jay and silent bob's super groovy cartoon movie",2013,NA,"Animation","Comedy",NA,5,"Steve Stark",NA,"Marc Bernardin","Ming Chen"," Matt Cohen","Kevin Conroy",1840,64,NA
"stash house",2012,NA,"Thriller",NA,NA,4.8,"Eduardo Rodriguez",NA,"Sean Faris","Briana Evigan"," Dolph Lundgren","Jon Huertas",2655,99,NA
"how to be a man",2013,NA,"Comedy",NA,NA,6.9,"Chadd Harbold",NA,"Gavin McInnes","Liam Aiken"," Megan Neuringer","Marisa Redanty",3183,85,NA
"uskyld",2012,NA,"Drama",NA,NA,5.9,"Sara Johnsen",NA,"Maria Bonnevie","Inga Berger Schou"," Tea Sandanger","Line Billa Ljøstad",720,105,NA
"jopog manura 3",2006,NA,"Action","Comedy","Drama",6.4,"Jin-gyu Cho",NA,"Shu Qi","Beom-su Lee"," Hyeon-yeong","Ji-Ho Oh",1550,115,NA
"s'parta",2018,NA,"Drama",NA,NA,6.6,NA,NA,"Alyssa Lozovskaya","Alexander Petrov"," Artyom Tkachenko","Philipp Mogilnitskiy",250,50,NA
"mon frère",2019,NA,"Drama",NA,NA,6.7,"Julien Abraham",NA,"MHD","Darren Muselet"," Aïssa Maïga","Jalil Lespert",936,96,NA
"india's daughter",2015,NA,"Documentary","Biography","Crime",8.2,"Leslee Udwin",NA,"Asha Devi","Badri Singh"," Satendra","Mukesh Singh",2036,63,NA
"frank and cindy",2015,NA,"Comedy",NA,NA,6.1,"G.J. Echternkamp",NA,"Rene Russo","Oliver Platt"," Johnny Simmons","Jane Levy",811,102,NA
"out of reach",2004,NA,"Action","Crime","Drama",4,"Po-Chih Leong",NA,"Steven Seagal","Ida Nowakowska"," Agnieszka Wagner","Matt Schulze",4737,86,NA
"görümce",2016,NA,"Comedy","Family","Romance",5,"Kivanç Baruönü",NA,"Gupse Ozay","Bugra Gülsoy"," Eda Ece","Zeynep Kankonde",2915,109,NA
"the final girl",2010,NA,"Drama",NA,NA,3.5,"Todd Verow",NA,"Wendy Delorme","Brenda Velez"," Judy Minx","Émilie Jouvet",241,80,NA
"october 1",2014,NA,"Thriller",NA,NA,6.6,"Kunle Afolayan",NA,"Sadiq Daba","Kayode Aderupoko"," Ademola Adedoyin","David Bailie",368,148,NA
"weg van jou",2017,NA,"Comedy","Romance",NA,6.4,"Jelle de Jonge",NA,"Katja Herbers","Peter Bolhuis"," Leny Breederveld","Guy Clemens",1014,98,NA
"heukgisa",2017,NA,"Fantasy","Romance",NA,6,NA,NA,"Mi-hee Chang","Seo Ji-hye"," Rae-won Kim","Sung-Hoon Park",348,NA,NA
"pray for rain",2017,NA,"Drama","Mystery","Thriller",5.3,"Alex Ranarivelo",NA,"Jane Seymour","Annabelle Stephenson"," Nicholas Gonzalez","James Morrison",968,92,NA
"rustin",NA,NA,"Biography",NA,NA,NA,"George C. Wolfe",NA,NA,NA,NA,NA,NA,NA,NA
"the man in the iron mask",1998,NA,"Adventure",NA,NA,4.9,"William Richert",NA,"Edward Albert","Dana Barron"," Timothy Bottoms","Brigid Brannagh",226,85,NA
"the age of spin: dave chappelle live at the hollywood palladium",2017,NA,"Comedy",NA,NA,8.1,"Stan Lathan",NA,"Dave Chappelle","Morgan Freeman",NA,NA,11131,67,NA
"intimidad",2021,NA,"Drama",NA,NA,NA,NA,NA,"Verónica Echegui","Itziar Ituño"," Patricia López Arnaiz","Yune Nogueiras",NA,NA,NA
"mono",2016,NA,"Comedy",NA,NA,6.2,"Jarrett Lee Conaway",NA,"Ty Parker","Sam Lerner"," Sarah De La Isla","Kathryn Newton",1365,88,NA
"untitled nora roberts project",NA,NA,"Romance","Thriller",NA,NA,"Monika Mitchell",NA,"Alyssa Milano","Colleen Wheeler"," Lossen Chambers","Will Verchere-Gopaulsingh",NA,NA,NA
"kod adi: kulüp",2021,NA,NA,NA,NA,NA,NA,NA,"Gökçe Bahadir","Baris Arduç"," Salih Bademci","Ali Ulvi Gülsen",NA,NA,NA
"solteras",2019,NA,"Comedy",NA,NA,5.9,"Luis Javier Henaine",NA,"Cassandra Ciangherotti","Gabriela de la Garza"," Irán Castillo","Sophie Alexander-Katz",2178,95,NA
"living in bondage: breaking free",2019,NA,"Drama","Fantasy",NA,5.8,"Ramsey Nouah",NA,"Swanky J.K.A.","Ramsey Nouah"," Kenneth Okonkwo","Enyinna Nwigwe",76,150,NA
"night owls",2015,NA,"Comedy","Drama",NA,6.2,"Charles Hood",NA,"Adam Pally","Rosa Salazar"," Rob Huebel","Tony Hale",2248,90,NA
"russell madness",2015,NA,"Family",NA,NA,4.2,"Robert Vince",NA,"Sean Giambrone","David Milchard"," Steve Richmond","Jesse Reid",598,92,NA
"mannen van mars",2018,NA,"Comedy",NA,NA,6,"Hans Somers",NA,"Cynthia Abma","Evrim Akyigit"," Loïs Beekhuizen","Daniël Boissevain",409,91,NA
"the russian revolution",2017,NA,"Documentary","History",NA,6.5,"Cal Seville",NA,"Daniel Beer","Helen Rappaport"," Donald Rayfield","Victor Sebestyen",548,47,NA
"el pepe, una vida suprema",2018,NA,"Documentary","Biography",NA,7.1,"Emir Kusturica",NA,"Star: Pepe Mujica",NA,NA,NA,1690,74,NA
"al midan",2013,NA,"Documentary","Drama","History",8.1,"Jehane Noujaim",NA,"Ahmed Hassan","Khalid Abdalla"," Magdy Ashour","Ramy Essam",8795,108,0.12
"bill burr: i'm sorry you feel that way",2014,NA,"Comedy",NA,NA,8.3,"Jay Karas",NA,"Star: Bill Burr",NA,NA,NA,7364,80,NA
"knock down the house",2019,NA,"Documentary",NA,NA,7.1,"Rachel Lears",NA,"Alexandria Ocasio-Cortez","Cori Bush"," Joe Crowley","Paula Jean Swearengin",11754,87,NA
"music teacher",2019,NA,"Drama","Romance",NA,6.3,"Sarthak Dasgupta",NA,"Amrita Bagchi","Divya Dutta"," Neena Gupta","Manav Kaul",616,101,NA
"staged killer",2019,NA,"Thriller",NA,NA,3.5,"Christopher Ray",NA,"Chrishell Stause","Nicole Bilderback"," Jason Dolley","Darrin Dewitt Henson",264,88,NA
"hulk: where monsters dwell",2016,NA,"Animation","Action","Fantasy",5.4,"Eric Radomski","
Mitch Schauer
","Fred Tatasciore","Liam O'Brien"," Jesse Burch","Edward Bosco",1030,75,NA
"yashiknamnyeo",2020,NA,"Comedy","Drama","Romance",7,NA,NA,"Il-Woo Jung","Ji-young Kang"," Hak-joo Lee","Yang Dae-Hyeok",67,65,NA
"aziz ansari: right now",2019,NA,"Comedy",NA,NA,7.5,"Spike Jonze",NA,"Star: Aziz Ansari",NA,NA,NA,4634,65,NA
"thackeray",2019,NA,"Biography","Drama",NA,5.2,"Abhijit Panse",NA,"Nawazuddin Siddiqui","Amrita Rao"," Sanjay Narvekar","Vineet Sharma",3068,120,NA
"ti mene nosis",2015,NA,"Action","Drama",NA,7.1,"Ivona Juka",NA,"Helena Beljan","Lana Baric"," Natasa Dorcic","Goran Hajdukovic",1579,155,NA
"thi mai, rumbo a vietnam",2017,NA,"Comedy","Family",NA,6,"Patricia Ferreira",NA,"Carmen Machi","Adriana Ozores"," Aitana Sánchez-Gijón","Dani Rovira",2373,99,NA
"oh, hello on broadway",2017,NA,"Comedy",NA,NA,7.7,"Michael John Warren","
Alex Timbers
","Nick Kroll","John Mulaney"," Steve Martin","Matthew Broderick",2892,102,NA
"lady killer",NA,NA,"Action","Crime","Thriller",NA,"Diablo Cody",NA,"Star: Blake Lively",NA,NA,NA,NA,NA,NA
"das letzte wort",2020,NA,"Comedy","Drama",NA,7.1,NA,NA,"Anke Engelke","Thorsten Merten"," Johannes Zeiler","Nina Gummich",816,40,NA
"nate bargatze: the greatest average american",2021,NA,"Comedy",NA,NA,7.3,"Troy Miller",NA,"Star: Nate Bargatze",NA,NA,NA,944,60,NA
"sang krasue",2019,NA,"Drama","Horror","Romance",6.5,"Sitisiri Mongkolsiri",NA,"Phantira Pipityakorn","Oabnithi Wiwattanawarang"," Sapol Assawamunkong","Surasak Wongthai",1464,122,NA
"supermensch: the legend of shep gordon",2013,NA,"Documentary","Biography","Music",7.4,"Beth Aala","
Mike Myers
","Shep Gordon","Sylvester Stallone"," Michael Douglas","Alice Cooper",3218,85,0.21
"adam sandler: 100% fresh",2018,NA,"Comedy","Music",NA,7.6,"Steven Brill","
Nicholaus Goossen
","Adam Sandler","Rob Schneider"," Dan Bulla",NA,4846,73,NA
"too funny to fail: the life & death of the dana carvey show",2017,NA,"Documentary",NA,NA,7.7,"Josh Greenbaum",NA,"Dana Carvey","Robert Smigel"," Steve Carell","Stephen Colbert",1369,92,NA
"el desconocido: la historia de el cholo adrián",2017,NA,"Crime",NA,NA,7.1,NA,NA,"Guillermo Iván","Marco Uriel"," Jose Angel Bichir","Paty Blanco",129,60,NA
"flash boys",NA,NA,"Drama",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA
"slam: tutto per una ragazza",2016,NA,"Comedy","Drama","Romance",6,"Andrea Molaioli",NA,"Ludovico Tersigni","Barbara Ramella"," Jasmine Trinca","Luca Marinelli",1252,100,NA
