"name","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross","type"
"sonic boom",2014,2017,"Animation","Short","Action",6.9,NA,NA,"Roger Craig Smith","Cindy Robinson"," Colleen O'Shaughnessey","Travis Willingham",5452,11,NA,"short"
"video game high school",2012,2014,"Action","Romance","Sci-Fi",7.6,NA,NA,"Josh Blaylock","Ellary Porterfield"," Johanna Braddy","Jimmy Wong",12922,42,NA,"tv"
"my perfect landing",2020,NA,"Family",NA,NA,6.3,NA,NA,"Morgan Wigle","Tom Hulshof"," Helena Marie","Shawn Thompson",131,NA,NA,"tv"
"some assembly required",2014,NA,"Comedy","Family",NA,3.7,NA,NA,"Kolton Stewart","Harrison Houde"," Sydney Scotia","Charlie Storwick",788,NA,NA,"tv"
"rugal",2020,NA,"Action","Crime","Sci-Fi",6.4,NA,NA,"Choi Jin-Hyuk","Dong-Hyuk Cho"," Hye-in Jeong","Min-Sang Kim",672,60,NA,"tv"
"stay close",NA,NA,"Crime","Drama","Mystery",NA,NA,NA,"Bethany Antonia","Richard Armitage"," Daniel Francis","Jo Joyner",NA,NA,NA,"tv"
"inside the world's toughest prisons",2016,2021,"Documentary",NA,NA,7.1,NA,NA,"Raphael Rowe","Paul Connelly"," Robin",NA,2457,47,NA,"tv"
"windfall",2022,NA,"Drama","Thriller",NA,NA,"Charlie McDowell",NA,"Jesse Plemons","Lily Collins"," Jason Segel","Omar Leyva",NA,NA,NA,"tv"
"betaal",2020,NA,"Action","Horror","Thriller",5.4,NA,NA,"Vineet Kumar Singh","Aahana Kumra"," Suchitra Pillai","Jatin Goswami",8261,46,NA,"tv"
"trailer park boys: the animated series",2019,2020,"Animation","Comedy",NA,7.5,NA,NA,"John Paul Tremblay","Robb Wells"," Mike Smith","Patrick Roach",2531,25,NA,"tv"
"love on the spectrum",2019,NA,"Documentary","Reality-TV","Romance",8.5,NA,NA,"Michael Theo","Kelvin Wong"," Mark Radburn","Chloe Hatch",3333,NA,NA,"tv"
"ju-on: origins",2020,NA,"Drama","Horror","Mystery",6.1,NA,NA,"Yoshiyoshi Arakawa","Yuina Kuroshima"," Seiko Iwaidô","Dorah Fine",3932,30,NA,"tv"
"mercy",2016,NA,"Drama","Mystery","Thriller",4.2,"Chris Sparling",NA,"James Wolk","Tom Lipinski"," Caitlin FitzGerald","Mike Donovan",3165,90,NA,"tv"
"sisters",2017,NA,"Drama",NA,NA,7.5,NA,NA,"Lucy Durack","Antonia Prebble"," Maria Angelico","Dan Spielman",1554,60,NA,"tv"
"zero",2021,NA,"Action","Comedy","Drama",5.7,NA,NA,"Giuseppe Dave Seke","Haroun Fall"," Beatrice Grannò","Dylan Magon",1047,27,NA,"tv"
"she",2020,NA,"Crime","Drama",NA,6.5,NA,NA,"Dawood Khan","Aditi Sudhir Pohankar"," Vijay Varma","Vishwas Kini",3086,36,NA,"tv"
"bombay begums",2021,NA,"Drama",NA,NA,4.9,NA,NA,"Pooja Bhatt","Shahana Goswami"," Amruta Subhash","Plabita Borthakur",3615,50,NA,"tv"
"first kill",NA,NA,"Drama","Horror","Mystery",NA,NA,NA,"Jonas Dylan Allen","Gracie Dzienny"," Dominic Goodman","Sarah Catherine Hook",NA,60,NA,"tv"
"uncorked",2020,NA,"Drama",NA,NA,6.3,"Prentice Penny",NA,"Courtney B. Vance","Lashun Pollard"," Michael Mobley","Robert Cox",4839,104,NA,"tv"
"xx",2017,NA,"Horror",NA,NA,4.6,"Roxanne Benjamin","
Sofìa Carrillo","Natalie Brown","Jonathan Watton"," Peter DaCunha","Peyton Kennedy",11394,80,0.03,"tv"
"iris",2016,NA,"Drama","Thriller",NA,6.1,"Jalil Lespert",NA,"Romain Duris","Charlotte Le Bon"," Jalil Lespert","Camille Cottin",3831,99,NA,"tv"
"marlon",2017,2018,"Comedy",NA,NA,7.1,NA,NA,"Marlon Wayans","Essence Atkins"," Bresha Webb","Diallo Riddle",3738,22,NA,"tv"
"nobel",2016,NA,"Drama","Thriller","War",8.1,NA,NA,"Aksel Hennie","Atheer Adel"," Mohammad-Ali Behboudi","Danica Curcic",6041,45,NA,"tv"
"revenger",2018,NA,"Action","Crime","Thriller",5.7,"Seung-Won Lee",NA,"Je-Heon Choi","Makayla Rose Hilli"," Kim In-kwon","SooJin Jeong",3950,101,NA,"tv"
"sonic x",2003,2006,"Animation","Action","Adventure",6.2,NA,NA,"Gabriella Lewis","Jun'ichi Kanemaru"," Sanae Kobayashi","Jason Griffith",3994,30,NA,"tv"
"ajin",2016,NA,"Animation","Action","Adventure",7.6,NA,NA,"Mamoru Miyano","Martin Billany"," Johnny Yong Bosch","Lucien Dodge",5606,24,NA,"tv"
"fearless",2020,NA,"Animation","Comedy","Family",4.9,"Cory Edwards",NA,"Yara Shahidi","Miles Robbins"," Miguel","Jadakiss",1420,89,NA,"tv"
"the investigator: a british crime story",2016,2018,"Documentary","Crime",NA,5.7,NA,NA,"Mark Williams-Thomas","Rick Warden"," Tanya Winsor","Frances Millar",1652,47,NA,"tv"
"temple",2017,NA,"Adventure","Drama","Horror",3.6,"Michael Barrett",NA,"Logan Huffman","Natalia Warner"," Brandon Sklenar","Naoto Takenaka",4761,78,NA,"tv"
"fear city: new york vs the mafia",2020,NA,"Documentary","Crime",NA,7.1,NA,NA,"John Alite","Michael Franzese"," Jim Kossler","John Joyce",6352,156,NA,"tv"
"clark",NA,NA,"Action","Crime","Drama",NA,NA,NA,"Bill Skarsgård","Alicia Agneson"," Vilhelm Blomgren","Malin Levanon",NA,NA,NA,"tv"
"cheese in the trap",2016,NA,"Comedy","Romance",NA,7.4,NA,NA,"Park Hae-Jin","Kim Go-eun"," Seo Kang-Joon","Nam Joo-Hyuk",3348,60,NA,"tv"
"money, explained",2021,NA,"Documentary",NA,NA,6.9,NA,NA,"Hal Hershfield","Maria Konnikova"," Bobby Cannavale","Edie Falco",1451,23,NA,"tv"
"the cabin with bert kreischer",2020,NA,"Comedy","Reality-TV",NA,6.9,NA,NA,"Bert Kreischer","LeeAnn Kreischer"," Al Kreischer","Anthony Anderson",1388,NA,NA,"tv"
"frozen planet",2011,2012,"Documentary",NA,NA,9,NA,NA,"David Attenborough","Alec Baldwin"," Chadden Hunter","Ted Giffords",27986,333,NA,"tv"
"amend: the fight for america",2021,NA,"Documentary","History",NA,7.9,NA,NA,"Will Smith","Bryan Stevenson"," Larry Wilmore","Samira Wiley",1068,NA,NA,"tv"
"the last laugh",2019,NA,"Comedy",NA,NA,5.6,"Greg Pritikin",NA,"Chevy Chase","Richard Dreyfuss"," Andie MacDowell","Kate Micucci",5277,98,NA,"tv"
"el final del paraíso",2019,NA,"Action","Drama",NA,5.5,NA,NA,"Carmen Villalobos","Kimberly Reyes"," Fabián Ríos","Gregorio Pernía",164,44,NA,"tv"
"jack whitehall: travels with my father",2017,NA,"Documentary","Comedy",NA,7.7,NA,NA,"Jack Whitehall","Michael Whitehall"," Hilary Whitehall","Steven Seagal",4249,30,NA,"tv"
"typewriter",2019,NA,"Horror","Mystery","Thriller",6.5,NA,NA,"Aarnaa Sharma","Palomi Ghosh"," Mikhail Gandhi","Palash Kamble",3596,48,NA,"tv"
"lady dynamite",2016,2017,"Comedy",NA,NA,7.4,NA,NA,"Maria Bamford","Fred Melamed"," Mary Kay Place","Ana Gasteyer",3414,30,NA,"tv"
"ares",2020,NA,"Drama","Horror","Mystery",5.6,NA,NA,"Jade Olieberg","Tobias Kersloot"," Lisa Smit","Frieda Barnhard",3974,32,NA,"tv"
"osmosis",2019,NA,"Romance","Sci-Fi",NA,5.9,NA,NA,"Agathe Bonitzer","Hugo Becker"," Gaël Kamilindi","Manoel Dupont",2733,55,NA,"tv"
"the wiggles",1998,NA,"Adventure","Comedy","Family",5.9,NA,NA,"Murray Cook","Jeff Fatt"," Anthony Field","Greg Page",805,30,NA,"tv"
"diablero",2018,NA,"Adventure","Drama","Fantasy",6.7,NA,NA,"Christopher Von Uckermann","Gisselle Kuri"," Fátima Molina","Horacio Garcia Rojas",2318,40,NA,"tv"
"aggretsuko",2018,NA,"Animation","Comedy","Drama",8.1,NA,NA,"Ben Diskin","Erica Mendez"," G.K. Bowes","Katelyn Gault",5196,15,NA,"tv"
