"movies","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross"
"son",2012,2013,"Adventure","Drama","Mystery",NA,"Uluç Bayraktar",NA,"Yigit Özsener","Nehir Erdogan"," Erkan Can","Ülkü Duru",NA,29,NA
"son",2012,2013,"Adventure","Drama","Mystery",NA,"Uluç Bayraktar",NA,"Yigit Özsener","Nehir Erdogan"," Erkan Can","Engin Altan Düzyatan",NA,29,NA
"the dragon prince",2018,NA,"Animation","Adventure","Drama",8.8,"Villads Spangsberg",NA,"Racquel Belmonte","Paula Burrows"," Jack De Sena","Erik Dellums",447,NA,NA
"explained",2018,NA,"Documentary",NA,NA,7.3,NA,NA,"Natasha Lyonne","Lauren Benton"," Justin Dunnavant","Peter Leeson",231,NA,NA
"magic for humans",2018,NA,"Comedy","Reality-TV",NA,7.2,"Adam Franklin",NA,"Justin Willman","Susan Sarandon"," Harrison Taylor","Zoey Gale",79,NA,NA
"magic for humans",2018,NA,"Comedy","Reality-TV",NA,7.6,"Adam Franklin",NA,"Justin Willman","Mercedes Garcia",NA,NA,67,NA,NA
"magic for humans",2018,NA,"Comedy","Reality-TV",NA,7.7,"Adam Franklin",NA,"Star: Justin Willman",NA,NA,NA,62,NA,NA
"magic for humans",2018,NA,"Comedy","Reality-TV",NA,7.6,"Adam Franklin",NA,"Justin Willman","Ryan Wicks"," Sarah Jarman","Lierin Abdo",60,NA,NA
"magic for humans",2018,NA,"Comedy","Reality-TV",NA,7.6,"Adam Franklin",NA,"Justin Willman","Griffin Kramer"," Michelle Murad","Chandler Bolnick",56,NA,NA
"magic for humans",2018,NA,"Comedy","Reality-TV",NA,8.1,"Adam Franklin",NA,"Justin Willman","Mateo Ray Garcia"," Rachel Pieper Decker","Jennifer Chow",69,NA,NA
"inventing anna",2021,NA,"Drama",NA,NA,NA,"David Frankel",NA,"Laverne Cox","Julia Garner"," Anna Chlumsky","Caitlin FitzGerald",NA,NA,NA
"inventing anna",2021,NA,"Drama",NA,NA,NA,"David Frankel","
Tom Verica
","Laverne Cox","Julia Garner"," Anna Chlumsky","Tim Guinee",NA,NA,NA
"inventing anna",2021,NA,"Drama",NA,NA,NA,NA,NA,"Laverne Cox","Julia Garner"," Anna Chlumsky","Donna Murphy",NA,NA,NA
"inventing anna",2021,NA,"Drama",NA,NA,NA,NA,NA,"Laverne Cox","Julia Garner"," Anna Chlumsky","Anders Holm",NA,NA,NA
"inventing anna",2021,NA,"Drama",NA,NA,NA,NA,NA,"Laverne Cox","Julia Garner"," Anna Chlumsky","Anders Holm",NA,NA,NA
"inventing anna",2021,NA,"Drama",NA,NA,NA,"Nzingha Stewart",NA,"Laverne Cox","Julia Garner"," Anna Chlumsky","Caitlin FitzGerald",NA,NA,NA
"inventing anna",2021,NA,"Drama",NA,NA,NA,"Nzingha Stewart",NA,"Laverne Cox","Julia Garner"," Anna Chlumsky","Anders Holm",NA,NA,NA
"inventing anna",2021,NA,"Drama",NA,NA,NA,"Tom Verica",NA,"Laverne Cox","Julia Garner"," Anna Chlumsky","Caitlin FitzGerald",NA,NA,NA
"inventing anna",2021,NA,"Drama",NA,NA,NA,NA,NA,"Laverne Cox","Julia Garner"," Anna Chlumsky","Caitlin FitzGerald",NA,NA,NA
"inventing anna",2021,NA,"Drama",NA,NA,NA,NA,NA,"Laverne Cox","Julia Garner"," Anna Chlumsky","Caitlin FitzGerald",NA,NA,NA
"dynasty",2017,NA,"Drama",NA,NA,8,"Geoffrey Wing Shotz",NA,"Elizabeth Gillies","Daniella Alonso"," Rafael de la Fuente","Sam Underwood",193,42,NA
"the dragon prince",2018,NA,"Animation","Adventure","Drama",8.8,"Villads Spangsberg",NA,"Racquel Belmonte","Paula Burrows"," Jack De Sena","Erik Dellums",434,NA,NA
"the stranded",2019,NA,"Adventure","Drama","Mystery",6.9,"Sophon Sakdaphisit",NA,"Papangkorn Lerkchaleampote","Chutawut Phatrakampol"," Oabnithi Wiwattanawarang","Chayanit Chansangavej",46,46,NA
"the stranded",2019,NA,"Adventure","Drama","Mystery",6.8,"Sophon Sakdaphisit",NA,"Papangkorn Lerkchaleampote","Chutawut Phatrakampol"," Oabnithi Wiwattanawarang","Chayanit Chansangavej",44,47,NA
"the stranded",2019,NA,"Adventure","Drama","Mystery",7,"Sophon Sakdaphisit",NA,"Papangkorn Lerkchaleampote","Chutawut Phatrakampol"," Oabnithi Wiwattanawarang","Chayanit Chansangavej",45,53,NA
"the stranded",2019,NA,"Adventure","Drama","Mystery",6.8,"Sophon Sakdaphisit",NA,"Papangkorn Lerkchaleampote","Chutawut Phatrakampol"," Oabnithi Wiwattanawarang","Chayanit Chansangavej",44,53,NA
